Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA_accession,SRA Study,Submitter_Id,title
ERR5169583,AMPLICON,602,63566986,PRJEB37924,SAMEA7850036,39038094,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974504,SAMEA7850036,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850036,ibs_biopsy_1,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597195,ERP121278,ibs_biopsy_1,7541v1
ERR5169584,AMPLICON,602,78077594,PRJEB37924,SAMEA7850037,47595460,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974505,SAMEA7850037,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850037,ibs_biopsy_2,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597196,ERP121278,ibs_biopsy_2,7541v2
ERR5169585,AMPLICON,602,42431970,PRJEB37924,SAMEA7850038,25773827,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974506,SAMEA7850038,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850038,ibs_biopsy_3,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597197,ERP121278,ibs_biopsy_3,7542v1
ERR5169586,AMPLICON,602,52205440,PRJEB37924,SAMEA7850039,31912651,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974507,SAMEA7850039,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850039,ibs_biopsy_4,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597198,ERP121278,ibs_biopsy_4,7544v1
ERR5169587,AMPLICON,602,53390176,PRJEB37924,SAMEA7850040,32428601,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974508,SAMEA7850040,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850040,ibs_biopsy_5,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597199,ERP121278,ibs_biopsy_5,7544v2
ERR5169588,AMPLICON,602,26746258,PRJEB37924,SAMEA7850041,18364976,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974509,SAMEA7850041,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850041,ibs_biopsy_6,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597200,ERP121278,ibs_biopsy_6,7547v1
ERR5169589,AMPLICON,602,58716672,PRJEB37924,SAMEA7850042,36065320,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974510,SAMEA7850042,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:10Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850042,ibs_biopsy_7,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597201,ERP121278,ibs_biopsy_7,7547v2
ERR5169590,AMPLICON,602,68205396,PRJEB37924,SAMEA7850043,41755400,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974511,SAMEA7850043,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850043,ibs_biopsy_8,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597202,ERP121278,ibs_biopsy_8,7548v1
ERR5169591,AMPLICON,602,42538524,PRJEB37924,SAMEA7850044,26177539,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974512,SAMEA7850044,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850044,ibs_biopsy_9,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597203,ERP121278,ibs_biopsy_9,7548v2
ERR5169592,AMPLICON,602,51078496,PRJEB37924,SAMEA7850045,31771979,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974513,SAMEA7850045,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850045,ibs_biopsy_10,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597204,ERP121278,ibs_biopsy_10,7549v1
ERR5169593,AMPLICON,602,42182140,PRJEB37924,SAMEA7850046,25761027,MAYO CLINIC,2016,human metagenome,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-23,2021-01-23,2021-01-22,2021-01-22,lower digestive tract,rectum,biopsy,ERX4974514,SAMEA7850046,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,Mayo Clinic,2021-01-23T04:12:03Z,2021-01-22T20:08:11Z,public,Illumina HiSeq 4000,bacteria_archaea,unspecified,PAIRED,PCR,GENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2021-02-02T00:00:00Z,SAMEA7850046,ibs_biopsy_11,"Illumina MiSeq\, paired-end reads\, 250 bp length",ERS5597205,ERP121278,ibs_biopsy_11,7549v2
