run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
ERR4775527	SAMEA7501054	ERX4645363	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/007/ERR4775527/ERR4775527.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775527/Pos.Ctrl.NPM.S48.R1.001.fq.gz	
ERR4775528	SAMEA7501055	ERX4645364	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/008/ERR4775528/ERR4775528.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775528/Positive.Control.B01.101.S109.R1.001.fq.gz	
ERR4775529	SAMEA7501056	ERX4645365	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/009/ERR4775529/ERR4775529.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775529/Positive.Control.G12.100.S84.R1.001.fq.gz	
ERR4775531	SAMEA7501058	ERX4645367	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/001/ERR4775531/ERR4775531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775531/Study.ID.1.T.1.S29.R1.001.fq.gz	
ERR4775532	SAMEA7501059	ERX4645368	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/002/ERR4775532/ERR4775532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775532/Study.ID.1.T.2.S108.R1.001.fq.gz	
ERR4775547	SAMEA7501074	ERX4645383	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/007/ERR4775547/ERR4775547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775547/Study.ID.11.T.2.S117.R1.001.fq.gz	
ERR4775548	SAMEA7501075	ERX4645384	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/008/ERR4775548/ERR4775548.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775548/Study.ID.11.T.3.S164.R1.001.fq.gz	
ERR4775551	SAMEA7501078	ERX4645387	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/001/ERR4775551/ERR4775551.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775551/Study.ID.11.T.6.S103.R1.001.fq.gz	
ERR4775552	SAMEA7501079	ERX4645388	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/002/ERR4775552/ERR4775552.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775552/Study.ID.12.T.0.S36.R1.001.fq.gz	
ERR4775561	SAMEA7501088	ERX4645397	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/001/ERR4775561/ERR4775561.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775561/Study.ID.14.T.0.S60.R1.001.fq.gz	
ERR4775564	SAMEA7501091	ERX4645400	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/004/ERR4775564/ERR4775564.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775564/Study.ID.14.T.3.S166.R1.001.fq.gz	
ERR4775565	SAMEA7501092	ERX4645401	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/005/ERR4775565/ERR4775565.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775565/Study.ID.14.T.4.S19.R1.001.fq.gz	
ERR4775570	SAMEA7501097	ERX4645406	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/000/ERR4775570/ERR4775570.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775570/Study.ID.15.T.2.S120.R1.001.fq.gz	
ERR4775575	SAMEA7501102	ERX4645411	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/005/ERR4775575/ERR4775575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775575/Study.ID.16.T.0.S84.R1.001.fq.gz	
ERR4775584	SAMEA7501111	ERX4645420	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/004/ERR4775584/ERR4775584.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775584/Study.ID.17.T.6.S107.R1.001.fq.gz	
ERR4775586	SAMEA7501113	ERX4645422	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/006/ERR4775586/ERR4775586.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775586/Study.ID.18.T.0.S15.R1.001.fq.gz	
ERR4775587	SAMEA7501114	ERX4645423	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/007/ERR4775587/ERR4775587.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775587/Study.ID.18.T.1.S31.R1.001.fq.gz	
ERR4775597	SAMEA7501124	ERX4645433	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/007/ERR4775597/ERR4775597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775597/Study.ID.19.T.4.S23.R1.001.fq.gz	
ERR4775598	SAMEA7501125	ERX4645434	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/008/ERR4775598/ERR4775598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775598/Study.ID.19.T.5.S67.R1.001.fq.gz	
ERR4775599	SAMEA7501126	ERX4645435	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/009/ERR4775599/ERR4775599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775599/Study.ID.19.T.6.S109.R1.001.fq.gz	
ERR4775600	SAMEA7501127	ERX4645436	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/000/ERR4775600/ERR4775600.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775600/Study.ID.2.T.0.S13.R1.001.fq.gz	
ERR4775603	SAMEA7501130	ERX4645439	PRJEB37924	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR477/003/ERR4775603/ERR4775603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR477/ERR4775603/Study.ID.2.T.3.S156.R1.001.fq.gz	
