Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,env_biome,env_feature,env_material,Isolation_source,samp_size,source_material_ID
SRR2923787,AMPLICON,352,6260360,PRJNA302437,SAMN04272978,Metagenome or environmental,3689021,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923789,AMPLICON,354,5480798,PRJNA302437,SAMN04272978,Metagenome or environmental,3263677,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923791,AMPLICON,352,2161076,PRJNA302437,SAMN04272978,Metagenome or environmental,1321733,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923792,AMPLICON,356,4876678,PRJNA302437,SAMN04272978,Metagenome or environmental,2937522,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923794,AMPLICON,357,3797054,PRJNA302437,SAMN04272978,Metagenome or environmental,2297415,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923796,AMPLICON,357,5741870,PRJNA302437,SAMN04272978,Metagenome or environmental,3555003,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923797,AMPLICON,356,4932795,PRJNA302437,SAMN04272978,Metagenome or environmental,3016390,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923799,AMPLICON,355,5001723,PRJNA302437,SAMN04272978,Metagenome or environmental,2958989,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923800,AMPLICON,355,5110926,PRJNA302437,SAMN04272978,Metagenome or environmental,3041635,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
SRR2923802,AMPLICON,355,2967625,PRJNA302437,SAMN04272978,Metagenome or environmental,1844719,UNIVERSITY OF NEBRASKA-LINCOLN,2009,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1435929,USA,North America,USA: NC,Homo sapiens,454 GS FLX,35.9333 N 79.0333 W,,SINGLE,CAGE,METAGENOMIC,human gut metagenome,LS454,2015-11-23T00:00:00Z,R03 10A,SRP066323,,,,fecal sample,,R03 10A
